Category,Amount,Type,Date
Date,500000.00,income,2024-03-13 13:01:41
Dividends,43555.00,income,2024-03-13 13:20:52
Transportation,85424.00,expense,2024-03-13 13:20:52
Cryptocurrency,72722.00,saving,2024-03-13 13:20:52
Wages,19520.00,income,2024-03-13 13:21:36
Rent,36369.00,expense,2024-03-13 13:21:36
Cryptocurrency,93674.00,saving,2024-03-13 13:21:36
Bonus,4190.00,income,2024-03-13 13:22:00
Transportation,11452.00,expense,2024-03-13 13:22:00
Real Estate,88662.00,saving,2024-03-13 13:22:00
Bonus,16226.00,income,2024-03-13 13:22:10
Dining Out,66.00,expense,2024-03-13 13:22:10
Real Estate,8307.00,saving,2024-03-13 13:22:10
Bonus,26644.00,income,2024-03-13 13:22:15
Rent,87907.00,expense,2024-03-13 13:22:15
Cryptocurrency,94178.00,saving,2024-03-13 13:22:15
Bonus,42623.00,income,2024-03-13 13:22:18
Transportation,61256.00,expense,2024-03-13 13:22:18
Real Estate,58453.00,saving,2024-03-13 13:22:18
Dividends,91262.00,income,2024-03-13 13:22:21
Dining Out,64554.00,expense,2024-03-13 13:22:21
Stocks,49819.00,saving,2024-03-13 13:22:21
Wages,86524.00,income,2024-03-13 13:22:24
Transportation,60953.00,expense,2024-03-13 13:22:24
Real Estate,98416.00,saving,2024-03-13 13:22:24
Date,225.15,income,2024-03-13 13:01:41
Date,895.46,saving,2024-03-13 13:01:41
Food,751.83,expense,2024-03-13 13:29:49
Utilities,184.07,expense,2024-03-13 13:29:49
Transportation,664.88,expense,2024-03-13 13:29:49
Entertainment,772.17,expense,2024-03-13 13:29:49
Healthcare,866.19,expense,2024-03-13 13:29:49
Education,14.47,expense,2024-03-13 13:29:49
Food,473.79,income,2024-03-13 13:29:49
Utilities,325.51,income,2024-03-13 13:29:49
Transportation,206.20,income,2024-03-13 13:29:49
Entertainment,54.47,income,2024-03-13 13:29:49
Date,27.87,income,2024-03-13 13:01:41
Date,667.67,saving,2024-03-13 13:01:41
Food,925.17,expense,2024-03-13 13:30:22
Utilities,290.18,expense,2024-03-13 13:30:22
Transportation,675.38,expense,2024-03-13 13:30:22
Entertainment,506.36,expense,2024-03-13 13:30:22
Healthcare,505.64,expense,2024-03-13 13:30:22
Education,9.15,expense,2024-03-13 13:30:22
Food,528.81,income,2024-03-13 13:30:22
Utilities,616.61,income,2024-03-13 13:30:22
Transportation,496.60,income,2024-03-13 13:30:22
Entertainment,633.19,income,2024-03-13 13:30:22
Date,646.64,income,2024-03-13 13:01:41
Date,829.96,saving,2024-03-13 13:01:41
Food,468.71,expense,2024-03-13 13:30:26
Utilities,796.06,expense,2024-03-13 13:30:26
Transportation,574.16,expense,2024-03-13 13:30:26
Entertainment,482.64,expense,2024-03-13 13:30:26
Healthcare,690.71,expense,2024-03-13 13:30:26
Education,5.63,expense,2024-03-13 13:30:26
Food,956.02,income,2024-03-13 13:30:26
Utilities,763.19,income,2024-03-13 13:30:26
Transportation,947.92,income,2024-03-13 13:30:26
Entertainment,450.01,income,2024-03-13 13:30:26
Food,518.54,expense,2024-03-13 13:30:31
Utilities,934.65,expense,2024-03-13 13:30:31
Transportation,117.62,expense,2024-03-13 13:30:31
Entertainment,784.16,expense,2024-03-13 13:30:31
Healthcare,567.94,expense,2024-03-13 13:30:31
Education,487.20,expense,2024-03-13 13:30:31
